japanese_name,english_name_wiki,oba_stop_name,oba_stop_id,lat,lon,match_type,notes
アルバートソン駅,Albertson,Albertson,LI_1,40.772064,-73.64169,exact,
アマガンセット駅,,Amagansett,LI_4,40.98004,-72.13233,,
アミティビル駅,,Amityville,LI_8,40.68025,-73.42031,,
アトランティック・ターミナル駅,Atlantic Terminal,Atlantic Terminal,LI_241,40.683598,-73.97567,exact,
オーバーンデール駅,,Auburndale,LI_2,40.761444,-73.78996,,
バビロン駅,,Babylon,LI_27,40.70069,-73.32406,,
ボールドウィン駅,,Baldwin,LI_225,40.65673,-73.60716,,
ベイ・ショア駅,,Bay Shore,LI_26,40.724434,-73.25408,,
ベイサイド駅,,Bayside,LI_25,40.763153,-73.77125,,
ベルローズ駅,Bellerose,Bellerose,LI_23,40.722206,-73.71665,exact,
ベルモントパーク駅,Belmont Park,,,,,GAP,Special-event station (Belmont Stakes only); no regular scheduled service; absent from OBA GTFS by design. Distinct from Elmont-UBS Arena (LI_359).
ベルモア駅,,Bellmore,LI_16,40.6688,-73.52886,,
ベルポート駅,,Bellport,LI_21,40.77374,-72.94396,,
ベスページ駅,Bethpage,Bethpage,LI_20,40.74304,-73.48344,exact,
ブレントウッド駅,Brentwood,Brentwood,LI_29,40.780834,-73.243614,exact,
ブリッジハンプトン駅,,Bridgehampton,LI_13,40.938984,-72.31004,,
ブロードウェイ駅,,Broadway,LI_11,40.761654,-73.801765,,
カール・プレイス駅,Carle Place,Carle Place,LI_39,40.749207,-73.60365,exact,
シダーハースト駅,,Cedarhurst,LI_32,40.622173,-73.72618,,
セントラル・アイスリップ駅,Central Islip,Central Islip,LI_33,40.791855,-73.19486,exact,
センター・アベニュー駅,,Centre Avenue,LI_31,40.64832,-73.66397,,
コルド・スプリング・ハーバー駅,,Cold Spring Harbor,LI_40,40.83564,-73.45109,,
コペーグ駅,,Copiague,LI_38,40.681015,-73.39834,,
カントリー・ライフ・プレス駅,Country Life Press,Country Life Press,LI_36,40.72146,-73.62968,exact,
ディアーパーク駅,Deer Park,Deer Park,LI_44,40.769485,-73.293564,exact,
ダグラストン駅,,Douglaston,LI_42,40.76807,-73.74941,,
イースト・ハンプトン駅,,East Hampton,LI_48,40.965088,-72.193245,,
イースト・ニューヨーク駅,,East New York,LI_50,40.67581,-73.90281,,
イースト・ロッカウェイ駅,,East Rockaway,LI_51,40.642212,-73.65822,,
イースト・ウィリストン駅,East Williston,East Williston,LI_52,40.75602,-73.639404,exact,
エルモント-UBSアリーナ駅,,Elmont-UBS Arena,LI_359,40.720074,-73.72555,,
ファー・ロッカウェイ駅,,Far Rockaway,LI_65,40.609142,-73.75054,,
